83.000000,0.490186,0.491165,0.821667,0.840000
84.000000,0.489435,0.490474,0.820000,0.840000
85.000000,0.488610,0.489715,0.820556,0.840000
86.000000,0.487701,0.488877,0.819444,0.840000
87.000000,0.486700,0.487953,0.820556,0.840000
88.000000,0.485593,0.486930,0.820000,0.845000
89.000000,0.484369,0.485797,0.820556,0.840000
90.000000,0.483011,0.484539,0.819444,0.840000
91.000000,0.481502,0.483139,0.818889,0.840000
92.000000,0.479821,0.481577,0.818889,0.830000
93.000000,0.477946,0.479833,0.818889,0.830000
94.000000,0.475852,0.477881,0.818889,0.830000
95.000000,0.473507,0.475692,0.818333,0.830000
96.000000,0.470879,0.473233,0.817778,0.835000
97.000000,0.467927,0.470465,0.816111,0.835000
98.000000,0.464607,0.467344,0.817778,0.835000
99.000000,0.460871,0.463825,0.817222,0.830000
100.000000,0.456666,0.459852,0.817222,0.830000
101.000000,0.451928,0.455366,0.817222,0.835000
102.000000,0.446592,0.450299,0.818889,0.845000
103.000000,0.440587,0.444576,0.821111,0.845000
104.000000,0.433841,0.438118,0.822222,0.845000
105.000000,0.426280,0.430849,0.825556,0.845000
106.000000,0.417834,0.422689,0.830556,0.850000
107.000000,0.408443,0.413569,0.835556,0.855000
108.000000,0.398057,0.403425,0.844444,0.855000
109.000000,0.386647,0.392210,0.849444,0.855000
110.000000,0.374201,0.379886,0.858889,0.865000
111.000000,0.360728,0.366450,0.866667,0.870000
112.000000,0.346270,0.351882,0.873889,0.870000
